@relation '4CRE-V2-CE-ML: -C 4'

@attribute class0 {0, 1}
@attribute class1 {0, 1}
@attribute class2 {0, 1}
@attribute class3 {0, 1}
@attribute att0 numeric
@attribute att1 numeric

@data
0,0,0,1,-1.6493,-3.2661
0,0,0,1,0.57246,-3.7256
0,0,0,1,0.39995,-3.589
0,0,1,0,1.8282,-0.24369
0,0,0,1,0.16613,-2.6113
0,0,1,0,2.7182,1.5478
0,0,1,0,5.0409,0.29271
0,0,1,0,4.2001,0.42677
0,0,1,0,4.0354,-0.821
0,0,1,0,2.4618,1.1506
0,0,0,1,-0.93526,-2.7792
0,0,0,1,0.86534,-2.3483
0,0,1,0,2.8154,0.3539
0,0,1,0,3.6515,1.3566
0,0,1,0,2.4837,-0.46236
0,0,1,0,3.337,0.13419
0,0,1,0,2.3078,0.62527
0,0,0,1,0.33079,-3.1298
0,0,0,1,1.1901,-2.3589
0,0,1,0,3.3282,0.22624
0,0,0,1,0.58291,-3.8369
0,0,0,1,0.74674,-2.0132
0,0,1,0,3.0479,0.92672
0,0,0,1,-0.046992,-3.0243
0,0,0,1,0.069903,-2.8519
0,0,1,0,2.8896,-0.013101
0,0,0,1,0.82772,-4.6884
0,0,0,1,-0.49843,-2.3302
0,0,0,1,0.52832,-3.8109
0,0,0,1,0.48637,-2.821
0,0,0,1,-0.2856,-4.8334
0,0,0,1,1.5765,-3.4295
0,0,1,0,4.2425,2.6339
0,0,1,0,3.2198,0.30958
0,0,1,0,2.8179,0.66193
0,0,1,0,2.4428,-0.25751
0,0,0,1,1.5145,-3.1038
0,0,1,0,2.6329,1.2645
0,0,1,0,2.2724,0.87028
0,0,1,0,2.7663,-0.39488
0,0,1,0,4.2408,-0.071678
0,0,1,0,3.5394,0.36886
0,0,0,1,0.73894,-1.6279
0,0,1,0,2.7289,1.3115
0,0,1,0,3.6507,-0.12538
0,0,1,0,0.30333,-0.60753
0,0,0,1,0.10862,-3.8222
0,0,0,1,0.83808,-3.2499
0,0,1,0,2.681,0.96352
0,0,0,1,-1.3024,-3.07
0,0,1,0,2.7786,1.5548
0,0,0,1,-0.89769,-4.6167
0,0,1,0,3.6342,1.4625
0,0,1,0,3.4107,0.42789
0,0,1,0,4.067,-0.78409
0,0,0,1,0.7759,-3.0078
0,0,1,0,2.8109,0.027555
0,0,1,0,3.3862,0.39063
0,0,1,0,2.6371,0.75381
0,0,1,0,2.6736,1.4654
0,0,0,1,-0.05358,-3.9697
0,0,1,0,2.1883,1.3752
0,0,1,0,2.831,2.0748
0,0,1,0,3.0499,1.6322
0,0,0,1,-0.054054,-3.3394
0,0,0,1,0.70225,-3.4482
0,0,0,1,1.9912,-3.381
0,0,0,1,0.88091,-4.0724
0,0,0,1,0.52801,-3.0781
0,0,1,0,2.6808,0.90079
0,0,1,0,1.8834,0.79745
0,0,1,0,2.8492,1.0159
0,0,0,1,0.49869,-1.9237
0,0,0,1,0.43805,-4.5118
0,0,0,1,1.0626,-2.9629
0,0,1,0,3.0258,-1.1337
0,0,0,1,-0.36206,-3.7113
0,0,1,0,2.5136,1.5109
0,0,0,1,1.2677,-5.5259
0,0,1,0,2.9553,0.93958
0,0,1,0,3.7188,1.8882
0,0,0,1,0.78609,-5.2963
0,0,0,1,0.79477,-2.82
0,0,1,0,1.7795,0.067903
0,0,0,1,0.67013,-2.561
0,0,1,0,3.6774,0.07094
0,0,0,1,-0.039332,-3.5154
0,0,1,0,3.8828,1.6913
0,0,0,1,0.85292,-3.0249
0,0,1,0,1.637,0.58992
0,0,1,0,2.3235,0.67112
0,0,0,1,0.55023,-2.1781
0,0,1,0,4.5643,-0.53608
0,0,1,0,2.852,-0.014859
0,0,1,0,2.5577,0.055564
0,0,0,1,-0.29667,-3.8733
0,0,1,0,3.0895,0.86675
0,0,1,0,3.9035,1.0242
0,0,0,1,1.2568,-3.9995
0,0,0,1,0.36712,-3.2279
0,0,0,1,0.48127,-2.761
0,0,0,1,-0.20604,-1.5942
0,0,1,0,3.6327,-0.28378
0,0,1,0,3.4385,0.65189
0,0,0,1,0.77834,-2.4295
0,0,1,0,2.0789,0.29093
0,0,1,0,2.6597,-1.1469
0,0,0,1,0.17373,-2.1873
0,0,0,1,0.23202,-3.524
0,0,1,0,3.0476,0.66009
0,0,1,0,3.4089,1.8052
0,0,0,1,-0.32974,-5.1239
0,0,0,1,1.2203,-2.4665
0,0,1,0,5.1744,0.82504
0,0,1,0,2.6269,2.3465
0,0,1,0,2.1148,0.15644
0,0,0,1,0.70624,-3.0799
0,0,0,1,-1.0011,-4.1122
0,0,1,0,2.0245,0.74942
0,0,1,0,2.5278,1.6563
0,0,0,1,0.31408,-3.1084
0,0,1,0,3.7155,-0.47054
0,0,1,0,2.714,0.41309
0,0,1,0,4.7541,0.80196
0,0,1,0,2.7794,0.2625
0,0,1,0,3.0788,1.9048
0,0,0,1,0.22936,-4.023
0,0,1,0,3.201,-0.24348
0,0,0,1,-0.4279,-1.9992
0,0,0,1,-0.77529,-2.3448
0,0,0,1,1.3177,-2.881
0,0,1,0,5.4053,0.28083
0,0,0,1,1.4359,-2.1612
0,0,0,1,-0.34006,-1.9894
0,0,0,1,0.24754,-2.6962
0,0,1,0,2.3443,0.37366
0,0,0,1,0.29284,-1.7848
0,0,0,1,0.31845,-4.6416
0,0,0,1,0.37112,-2.1155
0,0,0,1,-0.15484,-2.338
0,0,0,1,1.2365,-2.9851
0,0,0,1,0.86878,-1.7098
0,0,0,1,-0.70851,-3.4646
0,0,0,1,-0.51672,-4.5726
0,0,0,1,0.32079,-3.1973
0,0,1,0,3.0153,1.3654
0,0,1,0,1.2322,2.2489
0,0,0,1,-0.44364,-2.8479
0,0,1,0,3.4589,-1.3015
0,0,0,1,0.66255,-2.6249
0,0,1,0,4.5604,0.25337
0,0,0,1,0.7177,-2.5271
0,0,1,0,3.7492,-0.12996
0,0,0,1,1.4489,-2.5138
0,0,0,1,0.49153,-3.9748
0,0,1,0,2.8968,0.046845
0,0,1,0,3.3548,1.591
0,0,0,1,0.34299,-3.0999
0,0,1,0,2.6016,1.6095
0,0,1,0,4.0134,0.83936
0,0,1,0,1.6579,-0.016054
0,0,1,0,2.7158,-1.6985
0,0,1,0,1.9256,0.92059
0,0,0,1,-0.82312,-4.2591
0,0,0,1,0.9534,-3.7942
0,0,1,0,4.0627,-0.036886
0,0,0,1,1.3934,-3.0094
0,0,1,0,3.0029,-0.22053
0,0,0,1,2.6,-2.5037
0,0,1,0,3.493,0.78011
0,0,0,1,1.2013,-3.3971
0,0,1,0,3.266,0.96126
0,0,0,1,-0.66787,-3.4185
0,0,1,0,2.8734,2.6379
0,0,0,1,1.0429,-3.4775
0,0,1,0,3.0059,2.0496
0,0,0,1,0.93339,-2.5986
0,0,1,0,3.6403,0.61493
0,0,0,1,0.55489,-3.2999
0,0,1,0,2.4135,-1.7601
0,0,1,0,2.7187,1.1585
0,0,1,0,3.2543,-0.11539
0,0,1,0,3.4724,0.77883
0,0,1,0,2.9432,-1.2867
0,0,1,0,1.485,-0.95148
0,0,0,1,0.20478,-4.3268
0,0,1,0,1.0652,0.77519
0,0,0,1,0.5464,-4.1661
0,0,0,1,-0.060316,-2.9949
0,0,1,0,2.1515,0.27462
0,0,1,0,2.7507,1.9023
0,0,0,1,-1.0396,-3.3228
0,0,1,0,3.5391,0.17462
0,0,0,1,0.93475,-3.495
0,0,0,1,0.68268,-2.5745
0,0,1,0,3.2236,0.51593
0,0,1,0,2.5903,0.67253
0,0,0,1,0.95205,-2.8211
0,0,1,0,2.6624,0.90666
0,0,0,1,0.17842,-1.6296
0,0,0,1,-0.34826,-2.975
0,0,1,0,3.8803,-0.69234
0,0,0,1,1.8275,-3.8865
0,0,0,1,-1.4076,-3.3062
0,0,1,0,3.0839,0.65476
0,0,0,1,0.91062,-3.7452
0,0,1,0,4.2987,1.5609
0,0,0,1,0.48705,-1.6969
0,0,1,0,3.6467,0.80715
0,0,0,1,-0.80713,-2.598
0,0,0,1,-0.77262,-2.6452
0,0,1,0,2.766,-1.7009
0,0,1,0,3.1116,-0.074746
0,0,0,1,0.045527,-3.4042
0,0,0,1,-1.1604,-4.3876
0,0,1,0,4.4809,1.2927
0,0,1,0,2.8307,0.93483
0,0,1,0,2.9022,-0.11157
0,0,1,0,1.9892,0.87267
0,0,1,0,2.8828,0.63165
0,0,0,1,0.21279,-3.3001
0,0,0,1,0.21069,-3.6791
0,0,1,0,4.2178,1.7448
0,0,1,0,5.0977,0.65724
0,0,0,1,0.63362,-0.68296
0,0,0,1,-0.26564,-1.9648
0,0,0,1,0.2092,-2.2461
0,0,1,0,2.2557,-1.0361
0,0,0,1,2.0271,-5.1028
0,0,0,1,0.5711,-3.6655
0,0,1,0,2.9248,1.4778
0,0,0,1,0.22518,-3.9767
0,0,1,0,3.1791,0.78456
0,0,1,0,4.4289,0.63814
0,0,1,0,4.275,1.8848
0,0,0,1,-0.62969,-1.6678
0,0,0,1,-0.2145,-3.6917
0,0,0,1,0.80257,-2.6159
0,0,0,1,0.59473,-2.7917
0,0,0,1,-0.13692,-3.8393
0,0,1,0,2.182,0.85393
0,0,0,1,0.2242,-2.6888
0,0,1,0,3.5724,-0.86521
0,0,0,1,1.1623,-3.5386
0,0,1,0,1.8528,1.2555
0,0,0,1,0.99896,-2.8167
0,0,1,0,2.8579,-1.3152
0,0,0,1,0.54402,-4.0084
0,0,0,1,2.1825,-2.3496
0,0,0,1,0.20939,-3.2809
0,0,0,1,-0.58447,-3.0882
0,0,0,1,-0.32858,-1.9641
0,0,1,0,2.794,-0.982
0,0,0,1,0.37478,-3.0449
0,0,1,0,2.8208,0.057385
0,0,0,1,-1.0821,-3.4449
0,0,0,1,0.29343,-3.7829
0,0,0,1,0.7743,-2.8366
0,0,0,1,-0.23091,-4.2559
0,0,1,0,2.7844,0.99868
0,0,1,0,2.5278,2.6057
0,0,0,1,-0.26364,-2.1286
0,0,0,1,-0.3538,-2.5355
0,0,0,1,0.71956,-2.2919
0,0,0,1,0.59842,-2.6032
0,0,1,0,2.5158,-1.4525
0,0,0,1,-2.4117E-4,-1.4362
0,0,1,0,3.0399,1.4832
0,0,0,1,1.3586,-2.8328
0,0,0,1,0.40272,-2.576
0,0,0,1,0.41232,-2.3524
0,0,1,0,3.418,0.49652
0,0,1,0,2.9236,0.47765
0,0,1,0,2.671,0.033529
0,0,1,0,2.0618,0.37568
0,0,0,1,-0.45932,-3.4284
0,0,1,0,2.89,-0.57883
0,0,0,1,1.025,-3.295
0,0,0,1,2.0116,-3.1213
0,0,1,0,2.7498,0.30434
0,0,0,1,0.11254,-1.975
0,0,0,1,-0.03091,-1.9164
0,0,1,0,2.7539,-0.39843
0,0,0,1,0.40149,-2.5638
0,0,1,0,3.0352,0.2645
0,0,0,1,0.78291,-3.7075
0,0,1,0,2.9556,-2.0219
0,0,0,1,-0.33715,-2.9105
0,0,1,0,3.8035,0.6054
0,0,0,1,0.86048,-4.3412
0,0,1,0,3.0048,1.3507
0,0,0,1,0.77592,-2.2074
0,0,1,0,2.4575,0.72944
0,0,1,0,3.8449,-1.5235
0,0,1,0,3.7742,1.5021
0,0,1,0,3.0899,0.43832
0,0,1,0,2.9711,-1.0114
0,0,0,1,-2.2261,-3.1502
0,0,0,1,-0.067991,-4.2124
0,0,1,0,2.394,-0.84556
0,0,0,1,0.32804,-2.3172
0,0,1,0,5.0823,1.4863
0,0,0,1,1.4624,-2.5667
0,0,1,0,2.0591,1.8189
0,0,1,0,2.3591,0.020343
0,0,0,1,1.6721,-4.0765
0,0,1,0,3.3552,2.236
0,0,1,0,2.8266,0.71172
0,0,1,0,2.5663,0.68141
0,0,1,0,2.4877,1.6351
0,0,0,1,0.55917,-3.3278
0,0,0,1,1.0088,-3.5552
0,0,1,0,2.5542,1.0472
0,0,0,1,1.0883,-2.6935
0,0,0,1,-1.643,-2.1506
0,0,0,1,2.0343,-3.8691
0,0,0,1,0.8384,-1.9457
0,0,0,1,0.52047,-4.3506
0,0,1,0,2.2592,-1.6248
0,0,0,1,-0.92111,-3.75
0,0,1,0,1.7642,2.0273
0,0,1,0,3.7327,1.1638
0,0,0,1,-1.6086,-3.5355
0,0,0,1,2.0417,-2.0952
0,0,0,1,0.7109,-3.0504
0,0,0,1,1.3366,-3.3395
0,0,1,0,2.9076,1.1322
0,0,0,1,1.3399,-3.4023
0,0,0,1,1.3644,-2.0948
0,0,0,1,0.44653,-2.9181
0,0,0,1,0.9985,-3.7013
0,0,0,1,0.59886,-2.1537
0,0,0,1,0.97549,-2.4393
0,0,1,0,2.7295,-1.0065
0,0,0,1,0.30823,-2.786
0,0,0,1,0.14422,-3.6546
0,0,0,1,0.92513,-3.0459
0,0,0,1,-0.0016659,-3.3067
0,0,1,0,3.357,1.6279
0,0,1,0,2.8373,0.84958
0,0,0,1,-0.066763,-3.3296
0,0,0,1,0.29133,-2.1165
0,0,1,0,4.1842,0.13267
0,0,0,1,1.3009,-3.9573
0,0,1,0,5.0089,-0.55264
0,0,0,1,-0.57451,-2.2778
0,0,1,0,4.7997,-0.6884
0,0,1,0,2.7638,1.6596
0,0,0,1,1.2097,-1.8817
0,0,0,1,-0.71618,-3.8664
0,0,1,0,3.0565,0.51667
0,0,1,0,2.9372,1.6056
0,0,0,1,0.91719,-3.0289
0,0,1,0,2.3733,-1.2705
0,0,1,0,2.9406,0.20094
0,0,0,1,1.0156,-3.6348
0,0,0,1,2.5527,-2.8838
0,0,1,0,4.0564,0.74587
0,0,0,1,0.78997,-1.2981
0,0,0,1,-0.74174,-2.3749
0,0,1,0,3.2343,0.32589
0,0,0,1,0.57277,-3.5323
0,0,0,1,-0.77674,-3.0259
0,0,1,0,2.6117,0.66241
0,0,0,1,1.2303,-3.114
0,0,0,1,0.1817,-3.1137
0,0,1,0,4.52,0.24039
0,0,0,1,1.2226,-2.3812
0,0,1,0,4.436,0.36356
0,0,1,0,3.8828,1.4029
0,0,1,0,2.6982,-0.39066
0,0,1,0,3.2504,0.44012
0,0,0,1,1.2555,-3.8821
0,0,1,0,2.7026,-0.71384
0,0,1,0,2.01,0.96244
0,0,0,1,0.71876,-3.7377
0,0,1,0,2.1768,2.3505
0,0,0,1,1.7711,-2.7253
0,0,0,1,0.3831,-3.8366
0,0,1,0,3.1309,0.21901
0,0,0,1,0.34851,-1.8121
0,0,1,0,3.5026,-0.3445
0,0,1,0,1.6586,2.1437
0,0,1,0,3.5679,0.14576
0,0,0,1,2.3052,-3.1878
0,0,0,1,0.82034,-2.2984
0,0,0,1,1.974,-2.6787
0,0,0,1,1.7977,-4.2392
0,0,1,0,3.0063,1.0981
0,0,1,0,4.4482,-0.14494
0,0,1,0,4.4392,-0.63284
0,0,0,1,0.38543,-3.5377
0,0,1,0,4.3637,1.1679
0,0,1,0,3.5899,1.1043
0,0,1,0,4.4129,0.38697
0,0,0,1,-1.501,-1.0083
0,0,1,0,4.1717,1.1016
0,0,1,0,1.3159,0.76881
0,0,0,1,0.36064,-3.5753
0,0,1,0,3.3658,1.57
0,0,1,0,3.2347,0.53153
0,0,1,0,2.9463,-0.15867
0,0,1,0,3.3332,1.1988
0,0,0,1,0.78087,-3.173
0,0,0,1,1.5023,-2.6717
0,0,1,0,1.7797,0.091731
0,0,1,0,2.1417,0.40467
0,0,1,0,3.0956,-0.34134
0,0,0,1,-0.20145,-1.776
0,0,0,1,1.5594,-2.2928
0,0,0,1,1.4627,-3.6218
0,0,1,0,2.8538,0.9811
0,0,1,0,3.1681,1.412
0,0,0,1,2.1872,-2.8931
0,0,0,1,0.25007,-5.0105
0,0,1,0,3.1933,-1.3907
0,0,1,0,2.2087,0.64829
0,0,0,1,0.23467,-3.1968
0,0,0,1,0.27821,-2.6427
0,0,1,0,4.7037,0.77986
0,0,0,1,-0.36757,-2.6254
0,0,1,0,2.8383,-0.84654
0,0,1,0,2.3367,-0.55984
0,0,1,0,4.0874,1.3574
0,0,1,0,2.3825,-0.45973
0,0,1,0,4.0455,0.40636
0,0,0,1,1.662,-3.8896
0,0,0,1,2.3599,-3.142
0,0,1,0,2.537,-0.69118
0,0,0,1,0.87223,-2.3036
0,0,0,1,0.5852,-2.6984
0,0,0,1,0.40334,-1.2868
0,0,0,1,0.55485,-4.0461
0,0,0,1,0.83748,-2.5796
0,0,1,0,2.1932,0.6763
0,0,1,0,3.7364,1.8773
0,0,0,1,1.2081,-2.3393
0,0,0,1,-0.39727,-2.2812
0,0,0,1,0.35566,-1.5422
0,0,1,0,2.6538,0.9672
0,0,0,1,0.7843,-2.417
0,0,1,0,2.8241,0.14989
0,0,0,1,0.87424,-4.9991
0,0,1,0,1.6593,2.0638
0,0,0,1,-0.42813,-3.4244
0,0,1,0,4.9627,1.2049
0,0,1,0,2.7376,0.41623
0,0,1,0,2.9093,0.6623
0,0,0,1,0.090055,-2.4432
0,0,0,1,-1.1763,-4.4646
0,0,1,0,2.2458,0.57823
0,0,1,0,2.6176,0.46393
0,0,0,1,1.2053,-2.6948
0,0,1,0,2.1737,2.0684
0,0,1,0,4.6545,1.2442
0,0,0,1,0.9206,-3.7872
0,0,0,1,-0.45674,-4.0978
0,0,1,0,3.3107,1.6498
0,0,0,1,-0.074897,-3.651
0,0,0,1,0.21746,-1.435
0,0,0,1,1.0416,-3.8946
0,0,1,0,3.0226,0.50619
0,0,1,0,2.9174,1.9928
0,0,0,1,1.4972,-2.6108
0,0,0,1,2.4878,-2.388
0,0,0,1,0.70349,-4.6615
0,0,1,0,3.5247,-0.29123
0,0,0,1,-0.055798,-3.3234
0,0,1,0,2.9673,0.73825
0,0,0,1,0.96469,-2.0851
0,0,0,1,-0.39107,-2.2147
0,0,1,0,3.1123,0.2519
0,0,0,1,0.074435,-3.4486
0,0,0,1,2.011,-2.8922
0,0,0,1,0.46386,-2.3167
0,0,0,1,2.0741,-3.2745
0,0,0,1,-0.77178,-2.0405
0,0,1,0,3.088,1.0743
0,0,1,0,2.3569,1.3635
0,0,0,1,0.37959,-1.2621
0,0,1,0,3.6339,1.8583
0,0,1,0,3.3217,0.88665
0,0,1,0,4.0081,-0.020307
0,0,0,1,0.30772,-2.8094
0,0,1,0,3.5475,-0.12502
0,0,0,1,1.0749,-2.3496
0,0,1,0,3.4652,1.5798
0,0,1,0,2.6991,0.65787
0,0,0,1,-0.43586,-3.2598
0,0,1,0,3.0734,1.6062
0,0,0,1,-0.16317,-3.937
0,0,1,0,2.4462,1.1115
0,0,1,0,3.1092,0.10202
0,0,1,0,3.4844,1.6961
0,0,0,1,0.83269,-3.224
0,0,1,0,2.7643,-0.512
0,0,1,0,3.7476,-0.57829
0,0,0,1,0.80731,-3.5968
0,0,1,0,2.1193,-1.061
0,0,1,0,3.4419,0.17405
0,0,1,0,2.1722,0.26848
0,0,1,0,3.4682,0.11863
0,0,1,0,2.9786,-0.75813
0,0,0,1,1.2273,-1.2224
0,0,1,0,3.5427,0.52902
0,0,1,0,1.8564,0.38404
0,0,1,0,2.9913,0.09226
0,0,1,0,2.8574,1.1422
0,0,0,1,1.2598,-3.251
0,0,1,0,2.8628,1.1169
0,0,0,1,-0.19097,-2.2321
0,0,1,0,3.0442,1.7654
0,0,1,0,1.9592,-1.2671
0,0,1,0,3.1782,-0.26418
0,0,1,0,2.3521,1.4251
0,0,0,1,0.25677,-3.4917
0,0,1,0,1.8371,0.97179
0,0,1,0,2.1784,0.083634
0,0,0,1,-0.68143,-1.966
0,0,0,1,1.7515,-3.8461
0,0,0,1,0.6527,-2.914
0,0,1,0,2.9973,1.0238
0,0,1,0,2.8651,0.53487
0,0,0,1,0.47454,-2.6512
0,0,0,1,0.41985,-3.886
0,0,0,1,-1.1229,-1.885
0,0,1,0,2.5836,0.3016
0,0,1,0,3.6584,-0.17051
0,0,1,0,4.787,0.94561
